Bilans;Lotniska;Zabytki
10 166.0 ;5.0 ;11.0 
3 057.0 ;4.0 ;9.0 
5 307.0 ;5.0 ;12.0 
5 247.0 ;10.0 ;5.0 
31 030.0 ;77.0 ;38.0 
1 049.0 ;7.0 ;2.0 
3 335.0 ;9.0 ;2.0 
12 115.0 ;39.0 ;17.0 
45 505.0 ;48.0 ;44.0 
42 239.0 ;129.0 ;38.0 
7 182.0 ;7.0 ;7.0 
33 063.0 ;44.0 ;49.0 
2 181.0 ;2.0 ;0.0 
652.0 ;2.0 ;2.0 
1 105.0 ;4.0 ;4.0 
3 629.0 ;1.0 ;1.0 
3 848.0 ;5.0 ;8.0 
1 056.0 ;1.0 ;3.0 
11 732.0 ;5.0 ;9.0 
15 139.0 ;6.0 ;9.0 
8 594.0 ;10.0 ;14.0 
9 250.0 ;16.0 ;15.0 
1 083.0 ;13.0 ;7.0 
2 101.0 ;3.0 ;3.0 
1 884.0 ;6.0 ;7.0 
3 042.0 ;22.0 ;7.0 
8 647.0 ;32.0 ;15.0 
30 565.0 ;53.0 ;28.0 